battery_id,cycle,split
B0018,108,test
B0018,109,test
B0018,110,test
B0018,111,test
B0018,112,test
B0018,113,test
B0018,114,test
B0018,115,test
B0018,116,test
B0018,117,test
B0018,118,test
B0018,119,test
B0018,120,test
B0018,121,test
B0018,122,test
B0018,123,test
B0018,124,test
B0018,125,test
B0018,126,test
B0018,127,test
B0018,128,test
B0018,129,test
B0018,130,test
B0018,131,test
B0018,132,test
